epoch: 122; mse: 0.00778; latent: 0.020; avg mse: 0.00966; lr: 0.00030: 100%|██████████| 782/782 [01:45<00:00,  7.44it/s]
epoch: 123; mse: 0.00823; latent: 0.021; avg mse: 0.00966; lr: 0.00030: 100%|██████████| 782/782 [01:54<00:00,  6.83it/s]
epoch: 124; mse: 0.01003; latent: 0.026; avg mse: 0.00967; lr: 0.00030: 100%|██████████| 782/782 [01:49<00:00,  7.11it/s]
epoch: 125; mse: 0.01087; latent: 0.024; avg mse: 0.00964; lr: 0.00030: 100%|██████████| 782/782 [02:07<00:00,  6.13it/s]
epoch: 126; mse: 0.01172; latent: 0.027; avg mse: 0.00963; lr: 0.00030: 100%|██████████| 782/782 [01:48<00:00,  7.20it/s]
epoch: 127; mse: 0.00844; latent: 0.022; avg mse: 0.00963; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.84it/s]
epoch: 128; mse: 0.01094; latent: 0.027; avg mse: 0.00962; lr: 0.00030: 100%|██████████| 782/782 [01:40<00:00,  7.82it/s]
epoch: 129; mse: 0.00818; latent: 0.021; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:40<00:00,  7.80it/s]
epoch: 130; mse: 0.00937; latent: 0.025; avg mse: 0.00965; lr: 0.00030: 100%|██████████| 782/782 [01:40<00:00,  7.81it/s]
epoch: 131; mse: 0.01172; latent: 0.029; avg mse: 0.00964; lr: 0.00030: 100%|██████████| 782/782 [01:43<00:00,  7.53it/s]
epoch: 132; mse: 0.00913; latent: 0.022; avg mse: 0.00963; lr: 0.00030: 100%|██████████| 782/782 [02:00<00:00,  6.48it/s]
epoch: 133; mse: 0.01302; latent: 0.042; avg mse: 0.00965; lr: 0.00030: 100%|██████████| 782/782 [01:40<00:00,  7.81it/s]
epoch: 134; mse: 0.01178; latent: 0.028; avg mse: 0.00963; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.83it/s]
epoch: 135; mse: 0.00858; latent: 0.022; avg mse: 0.00961; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.84it/s]
epoch: 136; mse: 0.01221; latent: 0.029; avg mse: 0.00962; lr: 0.00030: 100%|██████████| 782/782 [01:39<00:00,  7.84it/s]
epoch: 137; mse: 0.01156; latent: 0.028; avg mse: 0.00962; lr: 0.00030: 100%|██████████| 782/782 [01:45<00:00,  7.40it/s]
epoch: 138; mse: 0.00843; latent: 0.022; avg mse: 0.00962; lr: 0.00030: 100%|██████████| 782/782 [01:30<00:00,  8.66it/s]
